"gene_id","gene_name","aligned.EpiSCs_rep1","aligned.EpiSCs_rep2","aligned.fPSCs_P1","aligned.fPSCs_P10","aligned.fPSCs_P20","aligned.fPSCs_P30","aligned.mESCs_rep1","aligned.mESCs_rep2"
"ENSMUSG00000102135",NA,72851.2972407945,204957.673338857,267257.920261189,68088.2309610347,0,419009.081995233,126767.16672515,438512.718934612
"ENSMUSG00000100480",NA,0,0,654877.143076868,333680.858740078,450196.050182067,0,207083.15497824,358170.80905481
"ENSMUSG00000051285",NA,14517.1941785736,15061.2468752941,32604.1331166697,14983.6146750105,14215.7942176448,17203.3693589032,17205.3917974643,24494.7983112484
"ENSMUSG00000103509",NA,2635.97996149024,22247.9629191431,22966.7219935715,12318.1891897804,19943.3679459128,7580.50704417224,75682.5127987146,84886.9229932925
"ENSMUSG00000048538",NA,102903.604054642,87190.3853447822,127077.135812602,91957.4655955714,107562.94633027,93451.093208086,87959.6019983612,71720.7083793177
"ENSMUSG00000103067",NA,31852.9894017079,72189.2595197486,4868.91564508016,66983.4444681504,77821.0444580882,81424.2610389634,6928.3481748346,43139.749620083
"ENSMUSG00000026312",NA,18349.5900590867,8604.03183762442,42072.6317047203,0,13015.2957184566,17589.8146334845,0,0
"ENSMUSG00000039748",NA,12173.1722334735,11559.8490757152,15454.6373139092,14339.764351813,14236.9147581414,17218.0337241597,15376.0293336537,18378.241336895
"ENSMUSG00000104158",NA,0,83408.4980694563,163142.81892704,0,0,255776.60233952,0,53536.4497579249
"ENSMUSG00000057363",NA,29211.2988567248,29501.3024102559,20647.8672311838,25201.3335728505,22599.3377987124,18143.1703797945,23422.4174685982,27467.1117953192
"ENSMUSG00000090243",NA,0,0,0,78509.7279925784,476657.435774483,80523.6788344315,146169.986170986,0
"ENSMUSG00000038702",NA,17587.430080002,15078.2104699515,20425.0325010386,41239.7759359647,35578.725873483,32222.044868647,4029.16626350713,7360.34973532562
"ENSMUSG00000055214",NA,13030.433963941,6109.90590649695,8963.00103738979,12178.4955225549,40050.5653595405,18736.3519251551,0,0
"ENSMUSG00000078184",NA,51861.1714321355,0,237818.497134121,48470.4535419547,49046.5803556606,198855.31812519,67681.9838612739,93650.1510055681
"ENSMUSG00000033007",NA,163258.769394981,102068.303805709,49910.1146507233,0,51466.1491489535,0,0,0
"ENSMUSG00000070695",NA,0,15512.372638724,75853.5478729251,0,0,0,0,0
"ENSMUSG00000084353",NA,217074.31412301,298569.538860003,404809.15095169,725866.178206492,729931.854382339,617322.470963345,518325.266876509,654767.892303278
"ENSMUSG00000061024",NA,35250.2431866067,49562.2789779473,56680.523005555,62156.9725527722,78009.8981389482,69569.0602557716,68070.5330867098,68981.7407956892
"ENSMUSG00000102030",NA,32918.8623890144,15435.4914274066,83025.3692790311,46149.90789888,15566.1507906016,0,21480.559071639,34675.9024136168
"ENSMUSG00000025911",NA,3087.35540119777,2895.29129320391,2831.52193194311,7694.6721363378,973.266515132486,3946.0288787479,131620.096509066,111502.031884636
"ENSMUSG00000081441",NA,61290.0123046815,38318.110686201,234213.417172564,133659.937892787,106266.787962877,97920.4396257954,106649.593112027,129122.717577006
