,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000013698,2818.5842,6.282230598,0.220393155,28.50465381,1.03E-178,2.27E-174
ENSMUSG00000068699,5568.544468,9.104677834,0.359359326,25.33586071,1.29E-141,1.43E-137
ENSMUSG00000049866,3363.342064,7.096754722,0.287976448,24.64352473,4.32E-134,3.19E-130
ENSMUSG00000030523,1276.864861,-8.250606835,0.348105226,-23.70147365,3.48E-124,1.93E-120
ENSMUSG00000005087,1214.369048,8.834035194,0.37348578,23.65293583,1.10E-123,4.88E-120
ENSMUSG00000045763,2834.962456,5.058619302,0.217498047,23.25822864,1.17E-119,4.34E-116
ENSMUSG00000026380,5553.390112,-7.535626687,0.325666798,-23.13906957,1.87E-118,5.93E-115
ENSMUSG00000001555,1994.412136,6.938285903,0.300168549,23.11463321,3.30E-118,9.14E-115
ENSMUSG00000001864,1538.563019,6.379581097,0.277267644,23.00874711,3.81E-117,9.39E-114
ENSMUSG00000053062,1871.026865,-5.657336883,0.261975868,-21.59487792,2.01E-103,4.45E-100
ENSMUSG00000029661,3186.282042,9.850954902,0.458922536,21.46539805,3.28E-102,6.61E-99
ENSMUSG00000052713,1375.18945,7.130552331,0.333302832,21.39361459,1.53E-101,2.83E-98
ENSMUSG00000005672,3132.281321,-5.503921135,0.258302182,-21.3080706,9.56E-101,1.63E-97
ENSMUSG00000032232,993.4961884,6.947876819,0.328073358,21.17781479,1.53E-99,2.42E-96
ENSMUSG00000021255,4155.876527,-7.785383664,0.371925747,-20.93262898,2.70E-97,3.99E-94
ENSMUSG00000023827,782.8905402,4.278278928,0.205379415,20.83109899,2.26E-96,3.13E-93
ENSMUSG00000000486,1220.376756,-6.827151044,0.329737595,-20.70480028,3.14E-95,3.92E-92
ENSMUSG00000034391,1861.416827,-8.737616078,0.422023848,-20.70408135,3.18E-95,3.92E-92
ENSMUSG00000048915,593.2053364,7.508720649,0.364557345,20.59681625,2.93E-94,3.42E-91
ENSMUSG00000026185,3581.189656,6.582871594,0.319812202,20.5835536,3.85E-94,4.27E-91
ENSMUSG00000027985,3095.68251,4.619545627,0.225481161,20.48750151,2.78E-93,2.94E-90
ENSMUSG00000037664,1121.606849,6.959071085,0.34145103,20.38087593,2.47E-92,2.49E-89
ENSMUSG00000027712,3087.776885,5.997599121,0.295011025,20.33008468,6.97E-92,6.72E-89
ENSMUSG00000026204,1008.832214,8.09656966,0.402302106,20.12559602,4.40E-90,4.07E-87
ENSMUSG00000048537,2134.433052,6.498747141,0.323009961,20.11933973,5.00E-90,4.43E-87
ENSMUSG00000020886,1043.192106,7.59439518,0.380993765,19.93312196,2.10E-88,1.79E-85
ENSMUSG00000000753,908.405155,7.232293765,0.365563503,19.78396014,4.09E-87,3.36E-84
ENSMUSG00000062591,1412.114939,9.077952427,0.460490315,19.71366634,1.65E-86,1.30E-83
ENSMUSG00000003032,1768.014689,-6.195426101,0.315913144,-19.61116913,1.24E-85,9.49E-83
ENSMUSG00000027478,36526.07468,3.202280665,0.16427015,19.49399001,1.23E-84,9.12E-82
ENSMUSG00000002602,2223.746316,5.516537855,0.286448619,19.25838521,1.20E-82,8.59E-80
ENSMUSG00000028047,564.419873,4.306074069,0.224261816,19.20110228,3.62E-82,2.51E-79
ENSMUSG00000040097,2783.653898,3.149834852,0.164180725,19.1851684,4.92E-82,3.31E-79
ENSMUSG00000023903,2395.274657,7.903735454,0.412314154,19.16920719,6.69E-82,4.36E-79
ENSMUSG00000037568,1074.648286,6.713258237,0.352340651,19.05331732,6.17E-81,3.91E-78
ENSMUSG00000045639,750.7030997,5.172613742,0.271592643,19.04548548,7.16E-81,4.41E-78
ENSMUSG00000022382,2230.20796,8.141445549,0.42832422,19.0076703,1.47E-80,8.83E-78
ENSMUSG00000050989,2296.913968,7.226683041,0.380680502,18.98359121,2.33E-80,1.36E-77
ENSMUSG00000024451,981.2663207,9.306317966,0.491611197,18.93024004,6.43E-80,3.65E-77
ENSMUSG00000098915,1236.944814,-2.878112242,0.15249593,-18.87337091,1.89E-79,1.05E-76
ENSMUSG00000071235,3150.940466,8.932057935,0.478842309,18.65344344,1.18E-77,6.40E-75
ENSMUSG00000021589,2033.912453,3.407132791,0.184121133,18.5048437,1.89E-76,9.96E-74
ENSMUSG00000037239,1329.431495,4.560787864,0.246745223,18.48379399,2.79E-76,1.44E-73
ENSMUSG00000034675,5198.671667,7.551146956,0.408622732,18.47950777,3.02E-76,1.52E-73
ENSMUSG00000020695,1023.549538,7.885228956,0.427127284,18.46107532,4.25E-76,2.09E-73
ENSMUSG00000040152,2250.69767,11.8394281,0.648982675,18.24305726,2.35E-74,1.13E-71
ENSMUSG00000003051,1307.561874,-4.71882154,0.26264619,-17.96645726,3.57E-72,1.68E-69
ENSMUSG00000051375,3263.329315,7.080059073,0.394414418,17.950812,4.73E-72,2.18E-69
ENSMUSG00000024063,1456.201023,3.816573909,0.212653126,17.94741506,5.03E-72,2.27E-69
ENSMUSG00000063632,5485.383857,8.05823182,0.452559155,17.80591934,6.36E-71,2.82E-68
ENSMUSG00000028402,751.1862749,5.282047838,0.296725369,17.80113327,6.93E-71,3.01E-68
ENSMUSG00000036523,379.7474265,6.522831269,0.366814094,17.78238998,9.68E-71,4.13E-68
ENSMUSG00000028464,1407.646132,4.927537852,0.277960144,17.72749784,2.57E-70,1.08E-67
ENSMUSG00000042367,1640.494288,-5.894023549,0.333052373,-17.69698708,4.42E-70,1.82E-67
ENSMUSG00000039960,1127.877823,3.227597689,0.182558981,17.67975299,6.01E-70,2.42E-67
ENSMUSG00000026398,612.2804176,-8.33285267,0.47251875,-17.63496722,1.33E-69,5.26E-67
ENSMUSG00000078952,2036.909349,-7.599060363,0.43140228,-17.61478951,1.90E-69,7.38E-67
ENSMUSG00000025650,910.27397,7.879523954,0.447552622,17.60580448,2.22E-69,8.50E-67
ENSMUSG00000055980,773.9965085,6.391563742,0.364029205,17.55783234,5.18E-69,1.95E-66
ENSMUSG00000014602,2529.164393,8.093194216,0.464488635,17.42387995,5.44E-68,2.01E-65
ENSMUSG00000039982,1425.96242,6.092156476,0.351543465,17.32973896,2.81E-67,1.02E-64
ENSMUSG00000026121,666.2024089,3.904014186,0.225985621,17.27549817,7.19E-67,2.57E-64
ENSMUSG00000028435,549.3260261,-7.594472003,0.443207374,-17.13525642,8.10E-66,2.85E-63
ENSMUSG00000030782,1306.047884,8.973855367,0.524338382,17.11462612,1.15E-65,4.00E-63
ENSMUSG00000022098,2190.549607,8.863671428,0.518637607,17.09029834,1.75E-65,5.98E-63
ENSMUSG00000034765,1179.972974,5.999835107,0.354214596,16.93841864,2.34E-64,7.87E-62
ENSMUSG00000040322,1023.070554,8.828534284,0.523100803,16.87730976,6.61E-64,2.19E-61
ENSMUSG00000005360,803.2596355,6.403811368,0.380467919,16.83140956,1.44E-63,4.68E-61
ENSMUSG00000008393,3534.69049,3.096324267,0.18505069,16.73230332,7.62E-63,2.45E-60
