"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000029761",3322.25818355993,-3.82606851667369,0.141061599220155,-27.1233882064695,5.21818020995657e-162,1.08037203066941e-157
"ENSMUSG00000002602",2223.7463164637,-6.68968526880183,0.254423589370734,-26.2934945825874,2.27607231730472e-152,2.35619006287385e-148
"ENSMUSG00000027712",3087.77688458661,-6.69390493462006,0.258077417495507,-25.9375849292842,2.51047611348515e-148,1.73256324845322e-144
"ENSMUSG00000040152",2250.69766991542,-6.41700500602418,0.250202964260278,-25.6471981656811,4.5435624796222e-145,2.35174793945245e-141
"ENSMUSG00000035783",2116.08423287672,-11.1741209281335,0.436210345208126,-25.6163592883201,1.00278496522333e-144,4.15233198399677e-141
"ENSMUSG00000001270",15751.9408068778,-4.23732200627574,0.171021329495541,-24.7765703773588,1.60392780641913e-135,5.53462021735029e-132
"ENSMUSG00000005087",1214.36904822488,-5.3529193081158,0.218822477878845,-24.4623832067176,3.71561463950235e-132,1.09897264994652e-128
"ENSMUSG00000037411",2296.00620320218,-7.40238402117029,0.312083951771943,-23.7192075373988,2.28485435741905e-124,5.91320307700051e-121
"ENSMUSG00000028063",3126.81387284525,-5.55679560483345,0.240638199239706,-23.0919098563324,5.58313391051261e-118,1.28436893870281e-114
"ENSMUSG00000022382",2230.20795993323,-8.47586069757156,0.373205362823624,-22.7109831258701,3.48948395562055e-114,7.22462758171679e-111
"ENSMUSG00000026879",1486.36804653719,-8.24985583751406,0.372006992158231,-22.176614986863,5.77648974468389e-109,1.08724039703578e-105
"ENSMUSG00000018340",3397.83057228342,-4.06869086027191,0.191532289313076,-21.2428456573256,3.83913888422207e-100,6.62379428824448e-97
"ENSMUSG00000028494",4027.07412993589,-5.33344751322969,0.253905818405886,-21.0056136039537,5.82758654422421e-98,9.28110398550909e-95
"ENSMUSG00000029661",3186.28204161628,-7.18906446489504,0.343474637853745,-20.9304084569884,2.83060574368174e-97,4.1860615226562e-94
"ENSMUSG00000029718",1984.65588095235,-3.71753813897245,0.177933203611983,-20.8928860016439,6.21479848777465e-97,8.57807919272576e-94
"ENSMUSG00000018217",1001.19178021858,-7.04551557680859,0.340159248251881,-20.7124034199168,2.67758292742082e-95,3.46479230808254e-92
"ENSMUSG00000026185",3581.1896564809,-5.46995355185128,0.272038975659091,-20.1072421280766,6.3772417134701e-90,7.76673014327558e-87
