"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000027478",36526.0746806634,5.33904446970203,0.142557680073849,37.4518192701807,5.61073602842931e-307,1.21651978568404e-302
"ENSMUSG00000001270",15751.9408068778,-5.24075405523419,0.170920616306145,-30.6619187813317,1.83312806161623e-206,1.98729413159815e-202
"ENSMUSG00000053062",1871.02686485854,-9.81874830879704,0.335854084031557,-29.2351612668628,6.93333013598024e-188,5.01094880027745e-184
"ENSMUSG00000021255",4155.87652691853,-9.10242065894728,0.332613625821236,-27.3663492783047,6.90031882524662e-165,3.74031781922493e-161
"ENSMUSG00000026380",5553.39011182534,-7.55798832517574,0.27766439602987,-27.2198684211665,3.77978852438923e-163,1.63906749571615e-159
"ENSMUSG00000027985",3095.68250994717,5.31962900667852,0.199390422460244,26.6794610344897,8.14947641151664e-157,2.94494912590839e-153
"ENSMUSG00000003032",1768.01468875879,-7.20859263310445,0.278583227890361,-25.8759031823031,1.24387864074719e-147,3.85282524124007e-144
"ENSMUSG00000034391",1861.41682667612,-9.03383051975807,0.351552880683113,-25.6969321434778,1.2649163928414e-145,3.4282396536984e-142
"ENSMUSG00000019647",5125.4011387466,7.49718769247292,0.301223362783369,24.8891308535874,9.75626892504116e-137,2.35039358703047e-133
"ENSMUSG00000040728",1457.06526191516,7.12718022394684,0.286476086944638,24.8787963419934,1.26225845334476e-136,2.73682877854211e-133
"ENSMUSG00000037995",2146.72382296326,4.96668586178706,0.202071516565907,24.5788518154024,2.12657528277141e-133,4.19167320736815e-130
"ENSMUSG00000029718",1984.65588095235,-4.35868731168581,0.177379369056329,-24.5726847201811,2.47520707270158e-133,4.47228664585964e-130
"ENSMUSG00000026235",931.885690874594,-4.95418836062699,0.203783646196151,-24.3110203056155,1.499005596541e-130,2.50011071878477e-127
"ENSMUSG00000000486",1220.37675605534,-6.41528120697687,0.266823304472219,-24.0431817590537,9.83779976664905e-128,1.52359410386061e-124
"ENSMUSG00000021728",4652.83476271645,4.04468465113719,0.169707253997998,23.8333044454594,1.50879018530238e-125,2.18090591984842e-122
"ENSMUSG00000052713",1375.18945034157,7.60257646158044,0.3209002304515,23.6914023118144,4.42204584831595e-124,5.99242488019915e-121
"ENSMUSG00000021589",2033.91245348894,3.77851799192025,0.162021766062143,23.3210517559167,2.71150966138689e-120,3.45829132224651e-117
"ENSMUSG00000006930",1219.54878118227,-3.37715953913836,0.146030363351893,-23.1264201609931,2.51119342253882e-118,3.0248719881937e-115
"ENSMUSG00000023903",2395.27465709705,8.82784013146341,0.390091246029102,22.6301928621203,2.18645493458569e-113,2.49509031008878e-110
"ENSMUSG00000042367",1640.49428771584,-6.48986317349856,0.28816878487036,-22.5210484765662,2.58187135632429e-112,2.79900673739117e-109
"ENSMUSG00000029304",3471.19404294628,-7.92599005180303,0.355453480567935,-22.2982485335045,3.84247123352945e-110,3.96726006120883e-107
"ENSMUSG00000045763",2834.9624555743,4.25117367288516,0.191969871565604,22.1450045166716,1.16549439836742e-108,1.1486477066092e-105
"ENSMUSG00000005672",3132.28132092407,-4.82358402414,0.219248276456548,-22.000556182689,2.84469040922214e-107,2.68167728055454e-104
"ENSMUSG00000049866",3363.34206419913,5.62665704257456,0.256899296489145,21.9021893771994,2.47593545765951e-106,2.23680135804057e-103
"ENSMUSG00000071235",3150.94046602268,10.2160997925557,0.467712840104088,21.8426754978164,9.12521344686242e-106,7.91411511819484e-103
"ENSMUSG00000026980",2202.90973233398,-3.89781511389714,0.180101060640955,-21.6423773409516,7.1709120016539e-104,5.97998900076384e-101
"ENSMUSG00000024206",728.421608992591,-4.57417937336797,0.213720619619502,-21.4026114163043,1.26330474614291e-101,1.01448050021743e-98
"ENSMUSG00000032602",865.84458438516,-4.58743305058745,0.217721826257735,-21.0701569495238,1.49435278392541e-98,1.1571627521811e-95
"ENSMUSG00000074682",6473.20156139866,3.48360467849301,0.165833512257118,21.0066387129993,5.70316218965388e-98,4.2639987102095e-95
"ENSMUSG00000000958",3334.88580808017,3.88477377773283,0.186832419056077,20.7928249142181,5.02630883936101e-96,3.63268094183418e-93
"ENSMUSG00000006342",625.620379393759,-7.71169305606678,0.374990376518509,-20.5650425689955,5.64503328424051e-94,3.94824553770654e-91
"ENSMUSG00000062444",624.017390395161,-4.74555114602069,0.231511154658799,-20.4981533309472,2.23619673789629e-93,1.51516305222085e-90
"ENSMUSG00000032232",993.496188401798,6.31205946205441,0.309145024278728,20.4177941300566,1.1619357149935e-92,7.63426974923912e-90
"ENSMUSG00000013698",2818.58420037241,4.0130081502529,0.196816618338782,20.3895798237183,2.0691532151065e-92,1.31951117676292e-89
"ENSMUSG00000078706",302.561151758119,-6.57940561903438,0.330905053682342,-19.8830617599161,5.70442655392668e-88,3.53381075834967e-85
"ENSMUSG00000037568",1074.64828561494,6.49864739263454,0.32696577909256,19.8756194323164,6.6164801614911e-88,3.98495896837361e-85
"ENSMUSG00000003051",1307.56187389058,-4.4131951089047,0.222471120094832,-19.8371595694016,1.42273297902263e-87,8.33721525707262e-85
"ENSMUSG00000031155",36323.5662418043,7.14372999156736,0.362319236225237,19.7166732464804,1.55100642374941e-86,8.849716126246e-84
